,cache_size,icache_hits,icache_misses,dcache_hits,dcache_misses
0,64,14803.0,15099.0,43877.0,11003.0
1,8192,97751141.0,3207715.0,116608990.0,774441.0
2,16384,99602461.0,1943400.0,116799765.0,592087.0
3,32768,102698245.0,393157.0,117459700.0,142614.0
4,65536,103353064.0,131797.0,117578077.0,62639.0
